-13.625, 8.875, 0.375
-13.125, 9.625, -0.125
-11.875, 7.125, 0.375
-17.625, 10.375, 0.625
-30.625, 21.375, 0.875
-17.625, 11.625, -0.125
-36.375, 20.125, 0.125
-12.625, 7.375, 0.625
-12.125, 8.625, -0.125
-45.625, 25.125, 0.375
-17.125, 10.875, -0.125
-18.375, 11.375, 0.625
-9.375, 6.875, 0.125
-16.625, 8.875, 0.125
-48.625, 27.375, 1.875
-15.375, 10.125, 0.375
-16.125, 10.625, -0.875
-43.625, 22.875, 0.375
-16.875, 9.625, -0.125
-15.125, 9.375, -0.125
-15.125, 10.375, -0.125
-15.125, 9.875, 0.375
-48.625, 22.875, 0.625
-43.625, 24.375, -0.125
-12.125, 7.875, 0.375
-43.625, 22.375, 0.375
-42.625, 23.875, -0.125
-17.625, 11.625, -0.375
-14.125, 9.125, 0.375
-26.125, 15.375, 0.875
-34.625, 24.625, -0.875
-37.875, 20.625, -0.125
-16.875, 9.625, 0.625
-16.125, 10.375, -0.125
-10.125, 6.375, 0.375
-12.375, 7.375, -0.125
-46.625, 20.875, 0.625
-46.875, 23.125, 0.375
-17.625, 11.625, 0.125
-17.125, 9.125, -0.125
-46.875, 22.875, 0.375
-43.625, 23.125, -0.125
-12.875, 7.875, 0.375
-47.125, 20.625, 0.625
-46.625, 22.375, 0.375
-22.375, 32.875, -0.625
-13.125, 7.875, 0.375
-42.125, 23.375, 1.375
-43.625, 24.375, -0.375
-42.375, 23.125, 1.375
-15.125, 9.125, -0.125
-12.625, 7.375, 0.375
-47.625, 23.625, 1.875
-43.375, 23.375, 1.375
-16.875, 10.125, -0.125
-47.125, 21.875, 0.375
-15.125, 9.625, 0.375
-46.375, 21.375, 0.375
-16.875, 9.875, 0.375
-12.125, 7.625, 0.125
-42.375, 31.125, -0.875
-51.625, 23.375, 0.375
-44.125, 23.875, -0.375
-47.375, 22.625, 1.875
-16.875, 9.625, 0.375
-12.125, 6.875, 0.375
-12.875, 8.125, 0.375
-55.125, 22.125, 0.625
